year,month,abundance
2010,3,0
2010,4,0
2010,5,56
2010,6,4854
2010,7,2359
2010,8,106
2014,3,0
2014,4,0
2014,5,5
2014,6,931
2014,7,2384
2014,8,313
2014,9,0
2015,3,0
2015,4,0
2015,5,6
2015,6,5845
2015,7,4886
2015,8,718
2015,9,0
2015,11,0
2015,12,0
2016,3,0
2016,4,0
2016,5,15
2016,6,7577
2016,7,7673
2016,8,222
