year,month,abundance
2011,3,0
2011,4,0
2011,5,12895
2011,6,4926
2011,7,34
2011,8,1
2014,3,0
2014,4,0
2014,5,19946
2014,6,2231
2014,7,10
2014,8,0
2014,9,0
2015,3,0
2015,4,0
2015,5,10880
2015,6,4257
2015,7,16
2015,8,0
2015,9,0
2015,11,0
2015,12,0
2016,3,0
2016,4,0
2016,5,8512
2016,6,2178
2016,7,16
2016,8,0
